Codigo Cliente;Codigo Contrato;Data Inicio do contrato;Data Término do contrato;Fechado;Placa;Cor;Modelo;Valor Período (diária/mensal);Valor Periodo Seguro adicional;Periodo Tarifa;Valor Locação com seguro;;;;;;;;;;;;;;
79;2778;11/01/23;11/03/23;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050,00;177,00;30;2227,00;;;;;;;;;;;;;;
10;354;21/12/20;29/12/20;Sim;QNZ0241;Branco;Ka 1.0 Ticvt Flex 8v 5p;125,00;28,00;1;153,00;;;;;;;;;;;;;;
12;357;29/12/20;27/01/21;Sim;QNZ0241;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050,00;177,00;30;2227,00;;;;;;;;;;;;;;
9;266;05/11/20;18/03/21;Sim;PZM6966;Branco;Ka 1.0 Ticvt Flex 8v 5p;1480,00;177,00;30;1657,00;;;;;;;;;;;;;;
9;648;05/11/20;13/10/21;Sim;QNY5612;Branco;Ka 1.0 Ticvt Flex 8v 5p;1480,00;177,00;30;1657,00;;;;;;;;;;;;;;
40;1326;18/11/21;01/12/21;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;264,30;28,00;4;376,30;;;;;;;;;;;;;;
41;1414;08/12/21;08/01/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
32;1149;16/09/21;20/09/21;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;576,00;28,00;4;688,00;;;;;;;;;;;;;;
26;1103;01/09/21;10/09/21;Sim;QNE2903;Branco;Ka 1.0 Ticvt Flex 8v 5p;1588,00;177,00;30;1765,00;;;;;;;;;;;;;;
26;979;14/07/21;16/08/21;Sim;QNW0305;Branco;Ka + Sedan 1.5 16v Flex 4p;1620,00;255,00;30;1875,00;;;;;;;;;;;;;;
26;1148;01/09/21;26/10/21;Sim;QNY5609;Branco;Ka 1.0 Ticvt Flex 8v 5p;1588,00;177,00;30;1765,00;;;;;;;;;;;;;;
38;1238;26/10/21;30/10/21;Sim;QNY5609;Branco;Ka 1.0 Ticvt Flex 8v 5p;616,00;28,00;4;728,00;;;;;;;;;;;;;;
36;1236;13/10/21;14/10/21;Sim;QNY5612;Branco;Ka 1.0 Ticvt Flex 8v 5p;154,00;28,00;4;266,00;;;;;;;;;;;;;;
11;356;03/01/21;04/01/21;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
11;1109;03/09/21;08/09/21;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
11;506;12/02/21;17/02/21;Sim;QNF9858;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
29;1063;12/08/21;20/08/21;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;350,00;28,00;4;462,00;;;;;;;;;;;;;;
39;1323;05/11/21;08/11/21;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;300,00;28,00;4;412,00;;;;;;;;;;;;;;
42;1416;18/12/21;18/01/22;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;2190,00;177,00;30;2367,00;;;;;;;;;;;;;;
37;1237;18/10/21;12/11/21;Sim;QOV8619;Branco;Ka 1.0 Ticvt Flex 8v 5p;1600,00;177,00;30;1777,00;;;;;;;;;;;;;;
77;2705;22/12/22;23/12/22;Sim;QQS9964;Branco;Ka 1.0 Ticvt Flex 8v 5p;89,00;28,00;1;117,00;;;;;;;;;;;;;;
77;2707;28/12/22;28/12/22;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;133,00;39,00;1;172,00;;;;;;;;;;;;;;
63;2033;17/06/22;19/07/22;Sim;QOV8599;Branco;Ka + Sedan 1.5 16v Flex 4p;2500,00;177,00;30;2677,00;;;;;;;;;;;;;;
47;1596;03/03/22;03/04/22;Sim;QUB6267;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;2000,00;255,00;30;2255,00;;;;;;;;;;;;;;
47;1816;25/04/22;03/06/22;Sim;QUB6267;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;2000,00;255,00;30;2255,00;;;;;;;;;;;;;;
68;2250;26/08/22;21/11/22;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;2070,00;255,00;30;2325,00;;;;;;;;;;;;;;
76;2704;22/12/22;23/12/22;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;225,00;39,00;1;264,00;;;;;;;;;;;;;;
69;2354;15/09/22;15/12/22;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;1800,00;177,00;30;1977,00;;;;;;;;;;;;;;
40;2702;30/11/22;14/01/23;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;82,00;28,00;1;110,00;;;;;;;;;;;;;;
40;2590;22/11/22;26/11/22;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;440,00;28,00;4;552,00;;;;;;;;;;;;;;
40;2593;30/11/22;17/12/22;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;396,00;28,00;4;508,00;;;;;;;;;;;;;;
40;2469;24/10/22;31/10/22;Sim;QUB6250;Branco;Fiat Uno Vivace 1.0 Fire Flex 8V 4P;396,00;28,00;4;508,00;;;;;;;;;;;;;;
64;2246;05/08/22;11/08/22;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;2070,00;177,00;30;2247,00;;;;;;;;;;;;;;
74;2596;02/12/22;02/01/23;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050,00;177,00;30;2227,00;;;;;;;;;;;;;;
41;1503;08/01/22;08/02/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
41;1590;08/02/22;08/03/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
41;1714;08/03/22;08/03/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
61;1968;03/06/22;04/07/22;Sim;QQS7869;Branco;Ka 1.0 Ticvt Flex 8v 5p;2250,00;177,00;30;2427,00;;;;;;;;;;;;;;
32;1594;25/02/22;02/03/22;Sim;QQS7860;Branco;Ka 1.0 Ticvt Flex 8v 5p;670,00;28,00;3;754,00;;;;;;;;;;;;;;
78;2706;26/12/22;26/12/22;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;126,00;28,00;1;154,00;;;;;;;;;;;;;;
73;2588;14/11/22;14/12/22;Sim;QXI8104;Branco;Chev/Onix 10tat Ltz;92,00;28,00;1;120,00;;;;;;;;;;;;;;
73;2472;03/11/22;04/11/22;Sim;QQS7869;Branco;Ka 1.0 Ticvt Flex 8v 5p;440,00;177,00;30;617,00;;;;;;;;;;;;;;
73;2524;03/11/22;14/11/22;Sim;QXI8104;Branco;Onix Hatch 1.0  8v Flex Power 5p;2350,00;177,00;30;2527,00;;;;;;;;;;;;;;
56;1920;09/05/22;09/06/22;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050,00;177,00;30;2227,00;;;;;;;;;;;;;;
56;2027;09/06/22;12/01/23;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050,00;177,00;30;2227,00;;;;;;;;;;;;;;
12;1504;12/01/22;27/01/22;Sim;QNF9858;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050,00;177,00;30;2227,00;;;;;;;;;;;;;;
62;2030;10/06/22;10/07/22;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;1980,00;177,00;30;2157,00;;;;;;;;;;;;;;
70;2467;13/10/22;14/10/22;Sim;QQS9964;Branco;Ka 1.0 Ticvt Flex 8v 5p;125,00;28,00;1;153,00;;;;;;;;;;;;;;
49;1719;08/03/22;08/04/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
49;1809;08/04/22;08/05/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
49;1923;08/05/22;08/06/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
49;2026;08/06/22;08/07/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
49;2135;08/07/22;20/07/22;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250,00;177,00;30;1427,00;;;;;;;;;;;;;;
48;1597;04/03/22;07/03/22;Sim;QNY5609;Branco;Ka 1.0 Ticvt Flex 8v 5p;345,00;28,00;3;429,00;;;;;;;;;;;;;;
39;1921;10/05/22;11/05/22;Sim;QQS7860;Branco;Ka 1.0 Ticvt Flex 8v 5p;154,00;28,00;3;238,00;;;;;;;;;;;;;;
67;2248;12/08/22;15/08/22;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;385,00;28,00;3;469,00;;;;;;;;;;;;;;
77;2813;13/01/23;14/01/23;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;250,00;39,00;1;289,00;;;;;;;;;;;;;;
94;3082;06/04/23;18/04/23;Não;QOV8599;Branco;Ka + Sedan 1.5 16v Flex 4p;1490,00;39,00;12;1958,00;;;;;;;;;;;;;;
88;2939;18/02/23;22/02/23;Não;QNV6811;Branco;Ka + Sedan 1.5 16v Flex 4p;1170,00;39,00;12;1638,00;;;;;;;;;;;;;;
88;2938;18/02/23;18/02/23;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;126,00;28,00;3;210,00;;;;;;;;;;;;;;
84;2889;07/02/23;14/02/23;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;91,00;28,00;1;119,00;;;;;;;;;;;;;;
83;2821;31/01/23;03/03/23;Sim;QOV8599;Branco;Ka + Sedan 1.5 16v Flex 4p;1965,00;255,00;30;2220,00;;;;;;;;;;;;;;
